sub,cond,date,V1,Cost,Handling,Offer,Choice,RT,ExpTime,ResponseType,Block,BlockType,HandleTime,TravelTime,condCode
109,wait,14032019,83,WAIT,10,20,1,10.0165801048279,1259.27970290184,Reward,3,0,12,8,1
109,cogTask,14032019,84,COGNITIVE,10,8,1,10.0009047985077,1279.33045101166,Reward,3,0,12,8,2
109,wait,14032019,85,WAIT,10,8,1,10.0163848400116,1309.3804090023,Reward,4,1,12,8,1
109,wait,14032019,86,WAIT,10,20,1,10.0167820453644,1329.44736003876,Reward,4,1,12,8,1
109,wait,14032019,87,WAIT,10,4,0,0.438314914703369,1339.49773383141,OfferQuit,4,1,12,8,1
109,phys,14032019,88,GRIP,10,4,0,0.504300832748413,1347.53086090088,OfferQuit,4,1,12,8,3
109,phys,14032019,89,GRIP,10,20,1,10.0353891849518,1365.59976291656,Reward,4,1,12,8,3
109,phys,14032019,90,GRIP,10,8,0,0.426201105117798,1376.07417201996,Quit,4,1,12,8,3
109,wait,14032019,91,WAIT,10,8,1,10.0172259807587,1394.11494088173,Reward,4,1,12,8,1
109,phys,14032019,92,GRIP,10,20,1,10.033007144928,1414.19766688347,Reward,4,1,12,8,3
109,phys,14032019,93,GRIP,10,8,1,10.0342950820923,1434.28313302994,Reward,4,1,12,8,3
109,wait,14032019,94,WAIT,10,20,1,10.0166828632355,1454.34905004501,Reward,4,1,12,8,1
109,wait,14032019,95,WAIT,10,4,0,0.866817951202393,1464.39950084686,OfferQuit,4,1,12,8,1
109,phys,14032019,96,GRIP,10,4,0,0.522013902664185,1472.43263888359,OfferQuit,4,1,12,8,3
109,phys,14032019,97,GRIP,10,4,0,0.522499084472656,1480.46632695198,OfferQuit,4,1,12,8,3
109,phys,14032019,98,GRIP,10,8,0,0.935143947601318,1488.49974393845,OfferQuit,4,1,12,8,3
109,wait,14032019,99,WAIT,10,20,1,10.0167210102081,1506.54980683327,Reward,4,1,12,8,1
109,wait,14032019,100,WAIT,10,8,1,10.0163750648499,1526.61665987968,Reward,4,1,12,8,1
109,wait,14032019,101,WAIT,10,4,0,0.854631900787354,1536.66691994667,OfferQuit,4,1,12,8,1
109,phys,14032019,102,GRIP,10,20,1,10.034078836441,1554.73389291763,Reward,4,1,12,8,3
109,phys,14032019,103,GRIP,10,20,1,10.0338571071625,1574.8178858757,Reward,4,1,12,8,3
109,wait,14032019,104,WAIT,10,20,1,10.0171420574188,1594.8845000267,Reward,4,1,12,8,1
109,wait,14032019,105,WAIT,10,4,0,0.77466082572937,1604.93477702141,OfferQuit,4,1,12,8,1
109,phys,14032019,106,GRIP,10,4,0,0.477543115615845,1612.96822690964,OfferQuit,4,1,12,8,3
109,wait,14032019,107,WAIT,10,8,1,10.0168490409851,1631.01832103729,Reward,4,1,12,8,1
109,phys,14032019,108,GRIP,10,8,1,10.0342280864716,1651.21941184998,Reward,4,1,12,8,3
109,wait,14032019,109,WAIT,10,20,1,10.0168340206146,1671.2855360508,Reward,4,1,12,8,1
109,phys,14032019,110,GRIP,10,8,0,0.642197132110596,1681.33550190926,OfferQuit,4,1,12,8,3
109,phys,14032019,111,GRIP,10,4,0,0.590973138809204,1689.36940097809,OfferQuit,4,1,12,8,3
109,phys,14032019,112,GRIP,10,20,1,10.0334231853485,1707.43624091148,Reward,4,1,12,8,3
109,wait,14032019,113,WAIT,10,20,1,10.0167419910431,1733.06978082657,Reward,5,0,12,8,1
109,wait,14032019,114,WAIT,10,8,1,10.0164239406586,1753.13656187057,Reward,5,0,12,8,1
109,cogTask,14032019,115,COGNITIVE,10,8,0,1.04238796234131,1763.186647892,OfferQuit,5,0,12,8,2
109,wait,14032019,117,WAIT,10,4,0,0.753747940063477,1787.25334191322,OfferQuit,5,0,12,8,1
109,cogTask,14032019,118,COGNITIVE,10,4,0,0.690783977508545,1795.28725504875,OfferQuit,5,0,12,8,2
109,cogTask,14032019,119,COGNITIVE,10,4,0,0.585192918777466,1803.32092785835,OfferQuit,5,0,12,8,2
109,wait,14032019,120,WAIT,10,8,1,10.0168659687042,1821.37100601196,Reward,5,0,12,8,1
109,wait,14032019,122,WAIT,10,4,0,1.45199990272522,1849.45467782021,OfferQuit,5,0,12,8,1
109,wait,14032019,124,WAIT,10,20,1,10.0175180435181,1885.55541801453,Reward,5,0,12,8,1
109,wait,14032019,125,WAIT,10,4,0,1.12392115592957,1895.60560393333,OfferQuit,5,0,12,8,1
109,cogTask,14032019,126,COGNITIVE,10,4,0,0.949229001998901,1903.63871383667,OfferQuit,5,0,12,8,2
109,wait,14032019,127,WAIT,10,20,1,10.0169320106506,1921.68900585175,Reward,5,0,12,8,1
109,wait,14032019,129,WAIT,10,8,1,10.0167670249939,1953.78954696655,Reward,5,0,12,8,1
109,cogTask,14032019,130,COGNITIVE,10,8,1,10.0007450580597,1973.8402838707,Reward,5,0,12,8,2
109,wait,14032019,131,WAIT,10,8,1,10.0172250270844,1993.90675592422,Reward,5,0,12,8,1
109,cogTask,14032019,132,COGNITIVE,10,4,0,1.64105105400085,2003.95686602592,OfferQuit,5,0,12,8,2
109,wait,14032019,135,WAIT,10,20,1,10.0170958042145,2058.09096097946,Reward,5,0,12,8,1
109,wait,14032019,136,WAIT,10,4,0,0.662268161773682,2068.14117097855,OfferQuit,5,0,12,8,1
109,wait,14032019,137,WAIT,10,20,1,10.0168480873108,2086.1915678978,Reward,5,0,12,8,1
109,wait,14032019,138,WAIT,10,4,0,0.554405927658081,2096.24167394638,OfferQuit,5,0,12,8,1
109,cogTask,14032019,140,COGNITIVE,10,4,0,0.568036794662476,2118.30812287331,OfferQuit,5,0,12,8,2
109,cogTask,14032019,141,COGNITIVE,10,20,1,10.001140832901,2136.34345602989,Reward,5,0,12,8,2
109,wait,14032019,142,WAIT,10,20,1,10.0176911354065,2161.92581295967,Reward,6,1,12,8,1
109,phys,14032019,143,GRIP,10,20,1,10.0334339141846,2182.00903701782,Reward,6,1,12,8,3
109,phys,14032019,144,GRIP,10,4,0,1.34806799888611,2192.05951786041,OfferQuit,6,1,12,8,3
109,wait,14032019,145,WAIT,10,8,0,0.573143005371094,2200.09241890907,OfferQuit,6,1,12,8,1
109,phys,14032019,146,GRIP,10,8,0,0.772192001342773,2208.12683701515,OfferQuit,6,1,12,8,3
109,wait,14032019,147,WAIT,10,4,0,0.547935009002686,2216.15998482704,OfferQuit,6,1,12,8,1
109,phys,14032019,148,GRIP,10,8,0,0.653379917144775,2224.19344592094,OfferQuit,6,1,12,8,3
109,phys,14032019,149,GRIP,10,20,1,10.0335190296173,2242.26070404053,Reward,6,1,12,8,3
109,phys,14032019,150,GRIP,10,4,0,0.538058996200562,2252.31042599678,OfferQuit,6,1,12,8,3
109,wait,14032019,151,WAIT,10,8,1,10.0167691707611,2270.36073899269,Reward,6,1,12,8,1
109,wait,14032019,152,WAIT,10,4,0,0.57074499130249,2280.4107029438,OfferQuit,6,1,12,8,1
109,wait,14032019,153,WAIT,10,20,1,10.0170209407806,2298.46124982834,Reward,6,1,12,8,1
109,phys,14032019,154,GRIP,10,8,1,10.0332779884338,2318.54455804825,Reward,6,1,12,8,3
109,wait,14032019,155,WAIT,10,20,0,9.11975812911987,2337.71420097351,Quit,6,1,12,8,1
109,phys,14032019,156,GRIP,10,20,1,10.0337760448456,2355.77886486053,Reward,6,1,12,8,3
109,wait,14032019,157,WAIT,10,4,0,0.630560874938965,2365.97873401642,OfferQuit,6,1,12,8,1
109,phys,14032019,158,GRIP,10,4,0,0.617509126663208,2374.01218795776,OfferQuit,6,1,12,8,3
109,wait,14032019,159,WAIT,10,8,1,10.017119884491,2392.06262302399,Reward,6,1,12,8,1
109,wait,14032019,160,WAIT,10,4,0,0.490532875061035,2402.11270284653,OfferQuit,6,1,12,8,1
109,wait,14032019,161,WAIT,10,20,1,10.0172910690308,2420.16304183006,Reward,6,1,12,8,1
109,wait,14032019,162,WAIT,10,8,1,10.0164358615875,2440.22974896431,Reward,6,1,12,8,1
109,phys,14032019,163,GRIP,10,8,1,10.0343029499054,2460.3138999939,Reward,6,1,12,8,3
109,phys,14032019,164,GRIP,10,4,0,0.528073072433472,2470.36386394501,OfferQuit,6,1,12,8,3
109,phys,14032019,165,GRIP,10,20,1,10.0336499214172,2488.43050003052,Reward,6,1,12,8,3
109,wait,14032019,166,WAIT,10,8,1,10.0167138576508,2508.49740099907,Reward,6,1,12,8,1
109,phys,14032019,167,GRIP,10,20,1,10.0339930057526,2528.58105993271,Reward,6,1,12,8,3
109,wait,14032019,168,WAIT,10,4,0,0.725013017654419,2538.6312019825,OfferQuit,6,1,12,8,1
109,wait,14032019,169,WAIT,10,20,1,10.0165860652924,2556.68152689934,Reward,6,1,12,8,1
181,wait,06022019,1,WAIT,10,4,0,0.652487993240356,7.69866895675659,Quit,1,0,12,8,1
181,cogTask,06022019,2,COGNITIVE,10,4,1,10.0009009838104,25.730633020401,Reward,1,0,12,8,2
181,wait,06022019,3,WAIT,10,8,1,10.0169570446014,45.7968940734863,Reward,1,0,12,8,1
181,cogTask,06022019,4,COGNITIVE,10,20,1,10.0009560585022,65.8475339412689,Reward,1,0,12,8,2
181,wait,06022019,5,WAIT,10,20,1,10.0168478488922,85.9139630794525,Reward,1,0,12,8,1
181,cogTask,06022019,6,COGNITIVE,10,8,1,10.0003130435944,105.964272022247,Reward,1,0,12,8,2
181,wait,06022019,7,WAIT,10,8,1,10.0165729522705,126.030711889267,Reward,1,0,12,8,1
181,cogTask,06022019,8,COGNITIVE,10,4,0,1.50735712051392,136.130625009537,OfferQuit,1,0,12,8,2
181,cogTask,06022019,9,COGNITIVE,10,8,1,10.0007560253143,154.16520190239,Reward,1,0,12,8,2
181,wait,06022019,10,WAIT,10,20,1,10.0168812274933,174.231698989868,Reward,1,0,12,8,1
181,cogTask,06022019,11,COGNITIVE,10,20,1,10.0008680820465,194.282572984695,Reward,1,0,12,8,2
181,wait,06022019,12,WAIT,10,4,0,1.83638691902161,204.331989049911,OfferQuit,1,0,12,8,1
181,wait,06022019,13,WAIT,10,4,0,1.58048701286316,212.365382909775,OfferQuit,1,0,12,8,1
181,cogTask,06022019,14,COGNITIVE,10,20,1,10.0009350776672,230.399646997452,Reward,1,0,12,8,2
181,wait,06022019,15,WAIT,10,20,1,10.0168261528015,250.465760946274,Reward,1,0,12,8,1
181,cogTask,06022019,16,COGNITIVE,10,4,0,1.4129638671875,260.515852928162,OfferQuit,1,0,12,8,2
181,cogTask,06022019,17,COGNITIVE,10,8,1,10.0016357898712,278.550955057144,Reward,1,0,12,8,2
181,wait,06022019,18,WAIT,10,8,1,10.0169041156769,298.616293907166,Reward,1,0,12,8,1
181,wait,06022019,19,WAIT,10,4,0,1.14307618141174,308.666317939758,OfferQuit,1,0,12,8,1
181,cogTask,06022019,20,COGNITIVE,10,8,1,10.000972032547,326.700721025467,Reward,1,0,12,8,2
181,wait,06022019,21,WAIT,10,8,0,0.519349098205566,337.269155979156,Quit,1,0,12,8,1
181,cogTask,06022019,22,COGNITIVE,10,20,1,10.000659942627,355.300780057907,Reward,1,0,12,8,2
181,cogTask,06022019,23,COGNITIVE,10,4,0,1.35571479797363,365.350455999374,OfferQuit,1,0,12,8,2
181,wait,06022019,24,WAIT,10,20,1,10.0175719261169,383.400616884232,Reward,1,0,12,8,1
181,wait,06022019,25,WAIT,10,4,0,1.24041795730591,393.450506925583,OfferQuit,1,0,12,8,1
181,cogTask,06022019,26,COGNITIVE,10,4,0,1.25266098976135,401.484205961227,OfferQuit,1,0,12,8,2
181,wait,06022019,27,WAIT,10,8,1,10.016743183136,419.534440994263,Reward,1,0,12,8,1
181,phys,06022019,28,GRIP,10,20,1,10.0243740081787,445.975775003433,Reward,2,1,12,8,3
181,wait,06022019,29,WAIT,10,8,1,10.017578125,466.051573038101,Reward,2,1,12,8,1
181,phys,06022019,30,GRIP,10,8,0,1.18253397941589,476.10094499588,OfferQuit,2,1,12,8,3
