"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"79",2,20,1,1.99944305419922,1800.10645508766,4
"80",2,4,1,1.99966907501221,1820.15671014786,4
"81",2,8,1,1.99996495246887,1840.20725703239,4
"82",2,8,1,1.99970817565918,1860.25672411919,4
"83",2,20,1,1.99915599822998,1880.30643510818,4
"84",2,8,1,2.00033283233643,1900.35748720169,4
"85",10,4,1,10.0158669948578,1934.12321805954,5
"86",10,8,1,9.99980187416077,1954.17330503464,5
"87",10,20,1,10.0162980556488,1974.23993515968,5
"88",10,20,1,10.015909910202,1994.30652403831,5
"89",10,4,1,10.0160040855408,2014.37296915054,5
"90",10,8,1,9.99933290481567,2034.42285299301,5
"91",10,20,1,9.9994421005249,2054.47325015068,5
"92",10,4,1,9.99946689605713,2074.52325320244,5
"93",10,8,1,9.99972915649414,2094.57327008247,5
"94",10,4,1,9.99956798553467,2114.62324309349,5
"95",10,20,1,10.0160667896271,2134.68979716301,5
"96",10,8,1,9.999342918396,2154.73979997635,5
"97",10,20,1,10.0175521373749,2174.80763506889,5
"98",10,8,1,10.0158529281616,2194.87295508385,5
"99",10,4,1,9.99931812286377,2214.92290306091,5
"100",10,20,1,10.01597905159,2234.98980307579,5
"101",10,4,1,10.0163941383362,2255.05650210381,5
"102",10,8,1,10.0004110336304,2275.10616612434,5
"103",10,20,0,0.553827047348022,2285.71061205864,5
"104",10,4,1,9.99994993209839,2303.73951601982,5
"105",10,4,1,10.0163378715515,2323.80644202232,5
"106",10,8,1,10.0164790153503,2343.87289810181,5
"107",14,8,1,13.9998028278351,2373.78926420212,6
"108",14,20,1,13.9997580051422,2393.83964300156,6
"109",14,4,1,14.0002660751343,2413.89008307457,6
"110",14,20,1,13.9994909763336,2433.95610618591,6
"111",14,8,1,13.999449968338,2454.00637102127,6
"112",14,4,0,0.386381864547729,2460.44307518005,6
"113",14,20,1,13.999489068985,2478.47303104401,6
"114",14,20,1,13.9993398189545,2498.52299118042,6
"115",14,4,1,13.9994540214539,2518.57295513153,6
"116",14,4,1,13.9993569850922,2538.6229891777,6
"117",14,8,1,13.9988968372345,2558.67248797417,6
"118",14,8,1,13.9993541240692,2578.72296309471,6
"119",14,8,1,13.999480009079,2598.77270817757,6
"120",14,20,1,13.9991340637207,2618.82260704041,6
"121",14,20,1,14.01646900177,2638.88973402977,6
"122",14,4,1,14.0159058570862,2658.95597219467,6
"123",14,8,1,14.0160248279572,2679.02249097824,6
"124",14,4,0,0.253453969955444,2685.32687306404,6
"125",14,20,1,13.9992671012878,2703.35600805283,6
"126",14,8,1,13.9998319149017,2723.40562319756,6
"127",14,4,0,0.286395072937012,2729.74296402931,6
"128",14,4,1,13.999205827713,2747.77287817001,6
"129",14,20,1,13.9998638629913,2767.82294201851,6
