sub,cond,date,V1,Handling,Offer,Choice,RT,Experiment.Time,Block,HandleTime,TravelTime,condCode
058,wait,29052018,112,10,8,1,10.0154378414154,1576.04831910133,4,12,8,1
058,wait,29052018,113,10,20,1,10.0153911113739,1596.11497998238,4,12,8,1
058,wait,29052018,114,10,4,0,0.317130088806152,1606.48337507248,4,12,8,1
058,wait,29052018,115,10,8,1,10.0152759552002,1624.53152513504,4,12,8,1
058,wait,29052018,116,10,20,1,10.0155200958252,1644.59834504128,4,12,8,1
058,wait,29052018,117,10,4,0,0.300268173217773,1654.94983410835,4,12,8,1
058,wait,29052018,118,10,8,1,10.0155801773071,1672.99831604958,4,12,8,1
058,wait,29052018,119,10,4,0,0.351511001586914,1683.40082097054,4,12,8,1
058,wait,29052018,120,10,20,1,10.0153961181641,1701.44827103615,4,12,8,1
058,wait,29052018,121,10,20,1,10.0152111053467,1721.51493406296,4,12,8,1
058,wait,29052018,122,14,20,1,14.015233039856,1752.13162398338,5,16,4,1
058,wait,29052018,123,14,20,1,14.0156271457672,1772.19820308685,5,16,4,1
058,wait,29052018,124,14,4,0,0.334258079528809,1778.58380699158,5,16,4,1
058,wait,29052018,125,14,4,0,0.484278917312622,1783.10044717789,5,16,4,1
058,wait,29052018,126,14,8,0,0.351109027862549,1787.48403096199,5,16,4,1
058,wait,29052018,127,14,8,0,0.350317001342773,1791.86656999588,5,16,4,1
058,wait,29052018,128,14,4,0,0.18422794342041,1796.08345007896,5,16,4,1
058,wait,29052018,129,14,4,0,0.233747005462646,1800.34995102882,5,16,4,1
058,wait,29052018,130,14,20,1,14.015408039093,1818.39825701714,5,16,4,1
058,wait,29052018,131,14,8,0,0.35089111328125,1824.80048513412,5,16,4,1
058,wait,29052018,132,14,20,1,14.0153567790985,1842.84825015068,5,16,4,1
058,wait,29052018,133,14,8,0,0.317809820175171,1849.2174179554,5,16,4,1
058,wait,29052018,134,14,20,1,14.0150859355927,1867.26462697983,5,16,4,1
058,wait,29052018,135,14,8,0,0.301403999328613,1873.61682701111,5,16,4,1
058,wait,29052018,136,14,20,1,14.0153629779816,1891.66490006447,5,16,4,1
058,wait,29052018,137,14,4,0,0.468145132064819,1898.18409013748,5,16,4,1
058,wait,29052018,138,14,4,0,0.2846519947052,1902.50024700165,5,16,4,1
058,wait,29052018,139,14,8,0,0.367071151733398,1906.89992213249,5,16,4,1
058,wait,29052018,140,14,4,0,0.28427791595459,1911.21725797653,5,16,4,1
058,wait,29052018,141,14,20,1,14.0157549381256,1929.2648999691,5,16,4,1
058,wait,29052018,142,14,20,0,2.59919476509094,1937.91552114487,5,16,4,1
