"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"126","WAIT",10,4,1,10.0170819759369,2255.53677082062,"Reward",6,0
"127","COGNITIVE",10,20,1,10.0004360675812,2275.58716392517,"Reward",6,0
"128","WAIT",10,20,1,10.0165779590607,2295.65352487564,"Reward",6,0
"129","COGNITIVE",10,4,0,1.17180585861206,2305.70357298851,"OfferQuit",6,0
"130","COGNITIVE",10,20,2,10.0004880428314,2323.73761796951,"Forced Travel",6,0
"131","COGNITIVE",10,8,2,10.0180909633636,2341.78881788254,"Forced Travel",6,0
"132","WAIT",10,8,1,10.0165259838104,2359.8373169899,"Reward",6,0
"133","WAIT",10,4,0,1.68636894226074,2369.88740587234,"OfferQuit",6,0
"134","WAIT",10,8,1,10.0168280601501,2387.93747091293,"Reward",6,0
"135","WAIT",10,4,0,1.29483890533447,2397.98739886284,"OfferQuit",6,0
"136","COGNITIVE",10,8,2,10.000550031662,2416.02140498161,"Forced Travel",6,0
"137","COGNITIVE",10,4,0,1.26574110984802,2424.05451583862,"OfferQuit",6,0
"138","WAIT",10,20,1,10.0166730880737,2442.10447597504,"Reward",6,0
"139","COGNITIVE",10,20,1,10.0012319087982,2462.15500283241,"Reward",6,0
"140","COGNITIVE",10,4,0,1.20200395584106,2472.20479202271,"OfferQuit",6,0
"141","WAIT",10,4,1,10.0166418552399,2490.25467896461,"Reward",6,0
"142","WAIT",10,20,1,10.0167610645294,2510.32148981094,"Reward",6,0
"143","COGNITIVE",10,8,1,10.0005428791046,2530.37211799622,"Reward",6,0
"144","WAIT",10,8,1,10.0168168544769,2550.43836402893,"Reward",6,0
"145","COGNITIVE",10,20,2,8.00068688392639,2568.48899102211,"Forced Travel",6,0
"146","COGNITIVE",10,20,2,4.00174188613892,2580.52350902557,"Forced Travel",6,0
"147","WAIT",10,8,1,10.0166637897491,2598.57194495201,"Reward",6,0
